,Que,Category
0,Design a system for managing and serving user-generated science experiments.,System_design
1,Explain the concept of an adjacency list in graph representation.,DSA
2,"What is a man-in-the-middle attack, and how can it be prevented?",CS_fundamentals
3,Design a system for handling real-time updates in a social media analytics platform.,System_design
4,Explain the concept of a queue and its types.,DSA
5,Explain the concept of a network packet analyzer capturing appliance.,CS_fundamentals
6,Design a system for handling real-time updates in an inventory management platform.,System_design
7,Explain the concept of a persistent linked list with dynamic block sizes.,DSA
8,"Define the terms ""precision"" and ""recall"" in classification.",AI
9,What is the purpose of a fusion tree?,DSA
10,"Define the terms ""ping of death"" and ""teardrop attack"" in network security.",CS_fundamentals
11,What is the purpose of dependency parsing in NLP?,AI
12,Explain the architecture of a distributed caching mechanism.,System_design
13,"Define the terms ""syntax"" and ""semantics"" in NLP.",AI
14,What is the purpose of a router in a computer network?,CS_fundamentals
15,"Define the terms ""syntax"" and ""semantics"" in NLP.",AI
16,Explain the architecture of a distributed identity management system.,System_design
17,Design a system for collaborative project management.,System_design
18,"Define the term ""classification"" in machine learning.",AI
19,What is the purpose of a network packet injection tool?,CS_fundamentals
20,Discuss the role of a network packet injector in network testing.,CS_fundamentals
21,"Define the terms ""DNS"" and ""DHCP"" in network services.",CS_fundamentals
22,Discuss the challenges of machine translation in NLP.,AI
23,Explain the concept of a network packet analyzer capturing appliance.,CS_fundamentals
24,Share an example of when you had to give constructive feedback.,Behavioural
25,Differentiate between a Fibonacci queue and a Fibonacci heap with dynamic block sizes.,DSA
26,Define deadlock in the context of operating systems.,CS_fundamentals
27,Discuss the advantages of using a relational database model.,CS_fundamentals
28,Explain the concept of named entity recognition (NER).,AI
29,"Define the term ""priority deque"" in data structures.",DSA
30,Explain the concept of grid search in hyperparameter tuning.,AI
31,What is the purpose of a network packet capture appliance?,CS_fundamentals
32,Design a system for managing and serving user-generated pet photos.,System_design
33,Explain the terms multiprogramming and multiprocessing.,CS_fundamentals
34,Design a system for managing and serving automotive-related information.,System_design
35,How would you design a URL shortening service like bit.ly?,System_design
36,"Define the terms ""vanishing gradients"" and ""exploding gradients.""",AI
37,Share a success story related to achieving a long-term objective.,Behavioural
38,Explain the concept of named entity recognition (NER).,AI
39,Explain the concept of a dynamic array.,DSA
40,Discuss the advantages and disadvantages of a wireless mesh network.,CS_fundamentals
41,"Define the terms ""supervised learning"" and ""unsupervised learning.""",AI
42,Differentiate between a quadtree and an octree.,DSA
43,How would you design a system for handling real-time weather updates in a travel app?,System_design
44,"Define the term ""heap"" and its types.",DSA
45,"Define the term ""graph cycle"" and its types.",DSA
46,Design a system for real-time analysis of user engagement on a social networking site.,System_design
47,Design a system for real-time analysis of user interactions in a collaboration tool.,System_design
48,"Define the terms ""syntax"" and ""semantics"" in NLP.",AI
49,What is the purpose of a DNS cache?,CS_fundamentals
50,Design a system for managing and serving user-generated woodworking projects.,System_design
51,"Define the terms ""syntax"" and ""semantics"" in NLP.",AI
52,Differentiate between a regular expression and a finite automaton.,DSA
53,Design a system for real-time personalization of content on a website.,System_design
54,Explain the concept of a dirty bit in page tables.,CS_fundamentals
55,Discuss the challenges of machine translation in NLP.,AI
56,Share a success story related to your ability to bounce back and persevere.,Behavioural
57,Differentiate between a monotonic priority search queue and a monotonic double-ended priority queue.,DSA
58,Discuss the role of a network packet reassembly tool in data recovery.,CS_fundamentals
59,Explain the concept of word frequency in natural language processing.,AI
60,Design a system for real-time analysis of user engagement in a podcast platform.,System_design
61,Discuss the advantages and disadvantages of a fully meshed network topology.,CS_fundamentals
62,"Define the terms ""asymmetric encryption"" and ""symmetric encryption.""",CS_fundamentals
63,Discuss the role of a network packet analysis tool in cybersecurity.,CS_fundamentals
64,How do you approach decision-making when faced with conflicting opinions from team members?,Behavioural
65,How would you design a system for handling real-time traffic congestion updates in a mapping application?,System_design
66,How do you contribute to building a positive and inclusive team culture?,Behavioural
67,Explain the concept of a hash function.,DSA
68,What is the purpose of ICMP echo requests and replies in networking?,CS_fundamentals
69,"Define the term ""explainability"" in AI.",AI
70,Discuss the challenges of machine translation in NLP.,AI
71,Share a success story related to your commitment to learning and development.,Behavioural
72,Discuss the role of a network packet sniffer in network analysis.,CS_fundamentals
73,What is the purpose of a Double-Ended Skip List?,DSA
74,Discuss the challenges of training deep neural networks.,AI
75,Explain the architecture of a distributed identity management system with single sign-on.,System_design
76,What is the purpose of a network packet fragmentation tool?,CS_fundamentals
77,"Define the terms ""syntax"" and ""semantics"" in NLP.",AI
78,Explain the concept of a network packet forwarding algorithm.,CS_fundamentals
79,How would you design a system for handling real-time energy consumption data in a smart grid?,System_design
80,Differentiate between a binary tree and a binary heap.,DSA
81,Explain the architecture of a distributed rate limiting system with adaptive thresholds.,System_design
82,Explain the concept of a trie in the context of dictionaries.,DSA
