,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month,day,hour_UTC,minute_UTC
0,Ultimate Investment Banking Course,True,200,2147,23,51,All Levels,1.5,Business Finance,2017,1,18,20,58
1,Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,923,274,All Levels,39.0,Business Finance,2017,3,9,16,34
2,Financial Modeling for Business Analysts and Consultants,True,45,2174,74,51,Intermediate Level,2.5,Business Finance,2016,12,19,19,26
3,Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,11,36,All Levels,3.0,Business Finance,2017,5,30,20,7
4,How To Maximize Your Profits Trading Options,True,200,1276,45,26,Intermediate Level,2.0,Business Finance,2016,12,13,14,57
5,Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,138,25,All Levels,3.0,Business Finance,2014,5,2,15,13
6,Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,178,26,Beginner Level,1.0,Business Finance,2016,2,21,18,23
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,148,23,All Levels,2.5,Business Finance,2015,1,30,22,13
8,Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,34,38,Expert Level,2.5,Business Finance,2015,5,28,0,14
9,The Only Investment Strategy You Need For Your Retirement,True,200,827,14,15,All Levels,1.0,Business Finance,2017,4,18,18,13
10,Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,93,76,All Levels,5.0,Business Finance,2015,9,11,16,47
11,Trading Options With Money Flow,True,200,1380,42,17,All Levels,1.0,Business Finance,2016,10,18,22,52
12,Financial Management Risk and Return For Securities,True,30,3607,21,19,All Levels,1.5,Business Finance,2016,2,3,18,4
13,Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,52,16,All Levels,2.0,Business Finance,2016,3,16,15,40
14,Python Algo Trading: Sentiment Trading with News,True,200,294,19,42,All Levels,7.0,Business Finance,2017,4,28,16,41
15,Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,106,19,Intermediate Level,1.5,Business Finance,2015,6,22,21,18
16,Basic Technical Analysis: Learn the structure of the market,True,20,4919,79,16,Beginner Level,1.5,Business Finance,2016,1,8,17,21
17,The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,115,52,All Levels,4.0,Business Finance,2015,8,10,21,7
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,24,23,All Levels,1.5,Business Finance,2015,9,21,18,10
19,Financial Statements Made Easy,True,95,8095,249,12,Beginner Level,0.5833333333333334,Business Finance,2013,6,9,0,21
20,Winning Forex Trading with Live Forex Trading Examples,True,200,809,3,25,All Levels,2.0,Business Finance,2017,6,6,2,54
21,Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,84,39,All Levels,4.0,Business Finance,2016,5,2,19,26
22,Create A Business From Home Trading Stocks Today In 2017,True,75,10149,83,16,All Levels,2.0,Business Finance,2015,5,26,17,25
